,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
1,Alpendorf (Ski amedé),Austria,1980,740,52,30,81,4,115,Yes,No,22,16,11,49,75398,600
2,Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640,1710,47,100,77,33,210,Yes,Yes,37,28,7,72,99017,1032
3,Oberau (Wildschönau),Austria,1130,900,30,1,0,1,2,No,No,2,0,0,2,1932,0
4,Dachstein West,Austria,1620,780,42,15,33,3,51,Yes,Yes,25,8,3,36,32938,163
5,Rosa Khutor,Southern Russia,2320,940,22,30,26,21,77,Yes,No,6,11,10,27,49228,450
6,Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910,680,23,12,3,0,16,Yes,Yes,7,1,0,8,28020,0
7,Vitosha-Sofia,Bulgaria,2290,726,18,12,6,2,20,No,Yes,8,5,2,15,12450,0
8,Szczyrk-Skrzyczne,Poland,1257,524,20,22,7,4,35,No,No,11,4,1,16,22500,0
9,Jahorina,Bosnia and Herzegovina,1889,920,20,3,19,3,25,No,Yes,5,5,1,11,16230,0
10,Kobla-Bohinj,Slovenia,1480,540,22,12,10,1,23,No,No,3,3,0,6,5720,30
