,Country,Month,Temp
1,Albania,1,6.7
2,Albania,2,7.8
3,Albania,3,10
4,Albania,4,13.4
5,Albania,5,18
6,Albania,6,21.6
7,Albania,7,24
8,Albania,8,23.8
9,Albania,9,20.7
10,Albania,10,16
11,Albania,11,11.7
12,Albania,12,8.1
14,Andorra,1,2.2
15,Andorra,2,3.5
16,Andorra,3,5.8
17,Andorra,4,7.5
18,Andorra,5,11.5
19,Andorra,6,15.4
20,Andorra,7,18.8
21,Andorra,8,18.5
22,Andorra,9,14.9
23,Andorra,10,10.3
24,Andorra,11,5.7
25,Andorra,12,3
27,Austria,1,0.3
28,Austria,2,1.5
29,Austria,3,5.7
30,Austria,4,10.7
31,Austria,5,15.7
32,Austria,6,18.7
33,Austria,7,20.8
34,Austria,8,20.2
35,Austria,9,15.4
36,Austria,10,10.2
37,Austria,11,5.1
38,Austria,12,1.1
40,Belarus,1,-4.5
41,Belarus,2,-4.4
42,Belarus,3,0
43,Belarus,4,7.2
44,Belarus,5,13.3
45,Belarus,6,16.4
46,Belarus,7,18.5
47,Belarus,8,17.5
48,Belarus,9,12.1
49,Belarus,10,6.6
50,Belarus,11,0.6
51,Belarus,12,-3.4
53,Belgium,1,3.3
54,Belgium,2,3.7
55,Belgium,3,6.8
56,Belgium,4,9.8
57,Belgium,5,13.6
58,Belgium,6,16.2
59,Belgium,7,18.4
60,Belgium,8,18
61,Belgium,9,14.9
62,Belgium,10,11.1
63,Belgium,11,6.8
64,Belgium,12,3.9
66,Bosnia and Herzegovina,1,-0.5
67,Bosnia and Herzegovina,2,1.4
68,Bosnia and Herzegovina,3,5.7
69,Bosnia and Herzegovina,4,10
70,Bosnia and Herzegovina,5,14.8
71,Bosnia and Herzegovina,6,17.7
72,Bosnia and Herzegovina,7,19.7
73,Bosnia and Herzegovina,8,19.7
74,Bosnia and Herzegovina,9,15.3
75,Bosnia and Herzegovina,10,11
76,Bosnia and Herzegovina,11,5.4
77,Bosnia and Herzegovina,12,0.9
