Country,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Albania,"6.7
(44.1)","7.8
(46.0)","10.0
(50.0)","13.4
(56.1)","18.0
(64.4)","21.6
(70.9)","24.0
(75.2)","23.8
(74.8)","20.7
(69.3)","16.0
(60.8)","11.7
(53.1)","8.1
(46.6)","15.2
(59.4)"
Andorra,"2.2
(36.0)","3.5
(38.3)","5.8
(42.4)","7.5
(45.5)","11.5
(52.7)","15.4
(59.7)","18.8
(65.8)","18.5
(65.3)","14.9
(58.8)","10.3
(50.5)","5.7
(42.3)","3.0
(37.4)","9.8
(49.6)"
Austria,"0.3
(32.5)","1.5
(34.7)","5.7
(42.3)","10.7
(51.3)","15.7
(60.3)","18.7
(65.7)","20.8
(69.4)","20.2
(68.4)","15.4
(59.7)","10.2
(50.4)","5.1
(41.2)","1.1
(34.0)","10.4
(50.7)"
Belarus,"−4.5
(23.9)","−4.4
(24.1)","0.0
(32.0)","7.2
(45.0)","13.3
(55.9)","16.4
(61.5)","18.5
(65.3)","17.5
(63.5)","12.1
(53.8)","6.6
(43.9)","0.6
(33.1)","−3.4
(25.9)","6.7
(44.1)"
Belgium,"3.3
(37.9)","3.7
(38.7)","6.8
(44.2)","9.8
(49.6)","13.6
(56.5)","16.2
(61.2)","18.4
(65.1)","18.0
(64.4)","14.9
(58.8)","11.1
(52.0)","6.8
(44.2)","3.9
(39.0)","10.5
(50.9)"
Bosnia and Herzegovina,"−0.5
(31.1)","1.4
(34.5)","5.7
(42.3)","10.0
(50.0)","14.8
(58.6)","17.7
(63.9)","19.7
(67.5)","19.7
(67.5)","15.3
(59.5)","11.0
(51.8)","5.4
(41.7)","0.9
(33.6)","10.1
(50.2)"
Bulgaria,"−0.5
(31.1)","1.1
(34.0)","5.4
(41.7)","10.6
(51.1)","15.4
(59.7)","18.9
(66.0)","21.2
(70.2)","21.0
(69.8)","16.5
(61.7)","11.3
(52.3)","5.1
(41.2)","0.7
(33.3)","10.6
(51.1)"
Croatia,"0.3
(32.5)","2.3
(36.1)","6.4
(43.5)","10.7
(51.3)","15.8
(60.4)","18.8
(65.8)","20.6
(69.1)","20.1
(68.2)","15.9
(60.6)","10.5
(50.9)","5.0
(41.0)","1.4
(34.5)","10.7
(51.3)"
Cyprus,"10.6
(51.1)","10.6
(51.1)","13.1
(55.6)","17.1
(62.8)","22.3
(72.1)","26.9
(80.4)","29.7
(85.5)","29.4
(84.9)","26.2
(79.2)","22.3
(72.1)","16.3
(61.3)","12.0
(53.6)","19.7
(67.5)"
Czech Republic,"−1.4
(29.5)","−0.4
(31.3)","3.6
(38.5)","8.4
(47.1)","13.4
(56.1)","16.1
(61.0)","18.2
(64.8)","17.8
(64.0)","13.5
(56.3)","8.5
(47.3)","3.1
(37.6)","−0.3
(31.5)","8.4
(47.1)"
Denmark,"1.4
(34.5)","1.4
(34.5)","3.5
(38.3)","7.7
(45.9)","12.5
(54.5)","15.6
(60.1)","18.1
(64.6)","17.7
(63.9)","13.9
(57.0)","9.8
(49.6)","5.5
(41.9)","2.5
(36.5)","9.1
(48.4)"
Estonia,"−2.9
(26.8)","−3.6
(25.5)","−0.6
(30.9)","4.8
(40.6)","10.2
(50.4)","14.5
(58.1)","17.6
(63.7)","16.5
(61.7)","12.0
(53.6)","6.5
(43.7)","2.0
(35.6)","−0.9
(30.4)","6.4
(43.5)"
Finland,"−3.9
(25.0)","−4.7
(23.5)","−1.3
(29.7)","3.9
(39.0)","10.2
(50.4)","14.6
(58.3)","17.8
(64.0)","16.3
(61.3)","11.5
(52.7)","6.6
(43.9)","1.6
(34.9)","−2.0
(28.4)","5.9
(42.6)"
France,"7.1
(44.8)","7.8
(46.0)","10.7
(51.3)","13.0
(55.4)","16.6
(61.9)","19.8
(67.6)","21.7
(71.1)","21.9
(71.4)","18.8
(65.8)","15.2
(59.4)","10.4
(50.7)","7.7
(45.9)","14.2
(57.6)"
France,"4.9
(40.8)","5.6
(42.1)","8.8
(47.8)","11.4
(52.5)","15.1
(59.2)","18.2
(64.8)","20.4
(68.7)","20.2
(68.4)","16.9
(62.4)","12.9
(55.2)","8.1
(46.6)","5.4
(41.7)","12.3
(54.1)"
