id,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,longitude,latitude
0,Alpendorf (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81.0,4.0,115.0,Yes,No,22.0,16.0,11.0,49.0,75398.0,600.0,9.53,47.17
1,Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640.0,1710.0,47.0,100.0,77.0,33.0,210.0,Yes,Yes,37.0,28.0,7.0,72.0,99017.0,1032.0,9.53,47.17
2,Oberau (Wildschönau),Austria,1130.0,900.0,30.0,1.0,0.0,1.0,2.0,No,No,2.0,0.0,0.0,2.0,1932.0,0.0,9.53,47.17
3,Dachstein West,Austria,1620.0,780.0,42.0,15.0,33.0,3.0,51.0,Yes,Yes,25.0,8.0,3.0,36.0,32938.0,163.0,9.53,47.17
4,Rosa Khutor,Southern Russia,2320.0,940.0,22.0,30.0,26.0,21.0,77.0,Yes,No,6.0,11.0,10.0,27.0,49228.0,450.0,9.53,47.17
5,Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910.0,680.0,23.0,12.0,3.0,0.0,16.0,Yes,Yes,7.0,1.0,0.0,8.0,28020.0,0.0,9.53,47.17
6,Vitosha-Sofia,Bulgaria,2290.0,726.0,18.0,12.0,6.0,2.0,20.0,No,Yes,8.0,5.0,2.0,15.0,12450.0,0.0,9.53,47.17
7,Szczyrk-Skrzyczne,Poland,1257.0,524.0,20.0,22.0,7.0,4.0,35.0,No,No,11.0,4.0,1.0,16.0,22500.0,0.0,9.53,47.17
8,Jahorina,Bosnia and Herzegovina,1889.0,920.0,20.0,3.0,19.0,3.0,25.0,No,Yes,5.0,5.0,1.0,11.0,16230.0,0.0,9.53,47.17
9,Kobla-Bohinj,Slovenia,1480.0,540.0,22.0,12.0,10.0,1.0,23.0,No,No,3.0,3.0,0.0,6.0,5720.0,30.0,9.53,47.17
10,Aillons-Margériaz,France,1785.0,1370.0,19.0,18.0,4.0,1.0,24.0,No,No,7.0,1.0,0.0,8.0,10025.0,0.0,9.53,47.17
11,Gornaya Karusel,Southern Russia,960.0,540.0,22.0,4.0,15.0,1.0,20.0,No,No,3.0,1.0,0.0,4.0,15740.0,0.0,9.53,47.17
