"","Country","Observations","Temp"
"1","Albania","Jan",6.7
"2","Albania","Feb",7.8
"3","Albania","Mar",10
"4","Albania","Apr",13.4
"5","Albania","May",18
"6","Albania","Jun",21.6
"7","Albania","Jul",24
"8","Albania","Aug",23.8
"9","Albania","Sep",20.7
"10","Albania","Oct",16
"11","Albania","Nov",11.7
"12","Albania","Dec",8.1
"13","Albania","Year",15.2
"14","Andorra","Jan",2.2
"15","Andorra","Feb",3.5
"16","Andorra","Mar",5.8
"17","Andorra","Apr",7.5
"18","Andorra","May",11.5
"19","Andorra","Jun",15.4
"20","Andorra","Jul",18.8
"21","Andorra","Aug",18.5
"22","Andorra","Sep",14.9
"23","Andorra","Oct",10.3
"24","Andorra","Nov",5.7
"25","Andorra","Dec",3
"26","Andorra","Year",9.8
"27","Austria","Jan",0.3
"28","Austria","Feb",1.5
"29","Austria","Mar",5.7
"30","Austria","Apr",10.7
"31","Austria","May",15.7
"32","Austria","Jun",18.7
"33","Austria","Jul",20.8
"34","Austria","Aug",20.2
"35","Austria","Sep",15.4
"36","Austria","Oct",10.2
"37","Austria","Nov",5.1
"38","Austria","Dec",1.1
"39","Austria","Year",10.4
"40","Belarus","Jan",-4.5
"41","Belarus","Feb",-4.4
"42","Belarus","Mar",0
"43","Belarus","Apr",7.2
"44","Belarus","May",13.3
"45","Belarus","Jun",16.4
"46","Belarus","Jul",18.5
"47","Belarus","Aug",17.5
"48","Belarus","Sep",12.1
"49","Belarus","Oct",6.6
"50","Belarus","Nov",0.6
"51","Belarus","Dec",-3.4
"52","Belarus","Year",6.7
"53","Belgium","Jan",3.3
"54","Belgium","Feb",3.7
"55","Belgium","Mar",6.8
"56","Belgium","Apr",9.8
"57","Belgium","May",13.6
"58","Belgium","Jun",16.2
"59","Belgium","Jul",18.4
"60","Belgium","Aug",18
"61","Belgium","Sep",14.9
"62","Belgium","Oct",11.1
"63","Belgium","Nov",6.8
"64","Belgium","Dec",3.9
"65","Belgium","Year",10.5
"66","Bosnia and Herzegovina","Jan",-0.5
"67","Bosnia and Herzegovina","Feb",1.4
"68","Bosnia and Herzegovina","Mar",5.7
"69","Bosnia and Herzegovina","Apr",10
"70","Bosnia and Herzegovina","May",14.8
"71","Bosnia and Herzegovina","Jun",17.7
"72","Bosnia and Herzegovina","Jul",19.7
"73","Bosnia and Herzegovina","Aug",19.7
"74","Bosnia and Herzegovina","Sep",15.3
"75","Bosnia and Herzegovina","Oct",11
"76","Bosnia and Herzegovina","Nov",5.4
"77","Bosnia and Herzegovina","Dec",0.9
"78","Bosnia and Herzegovina","Year",10.1
"79","Bulgaria","Jan",-0.5
"80","Bulgaria","Feb",1.1
"81","Bulgaria","Mar",5.4
"82","Bulgaria","Apr",10.6
"83","Bulgaria","May",15.4
"84","Bulgaria","Jun",18.9
"85","Bulgaria","Jul",21.2
"86","Bulgaria","Aug",21
"87","Bulgaria","Sep",16.5
"88","Bulgaria","Oct",11.3
"89","Bulgaria","Nov",5.1
"90","Bulgaria","Dec",0.7
"91","Bulgaria","Year",10.6
"92","Croatia","Jan",0.3
"93","Croatia","Feb",2.3
"94","Croatia","Mar",6.4
"95","Croatia","Apr",10.7
"96","Croatia","May",15.8
"97","Croatia","Jun",18.8
"98","Croatia","Jul",20.6
"99","Croatia","Aug",20.1
"100","Croatia","Sep",15.9
"101","Croatia","Oct",10.5
"102","Croatia","Nov",5
