,Country,Month,Temp
1,Albania,1,6.7
2,Albania,2,7.8
3,Albania,3,10
4,Albania,4,13.4
5,Albania,5,18
6,Albania,6,21.6
7,Albania,7,24
8,Albania,8,23.8
9,Albania,9,20.7
10,Albania,10,16
11,Albania,11,11.7
12,Albania,12,8.1
13,Albania,1,15.2
14,Andorra,2,2.2
15,Andorra,3,3.5
16,Andorra,4,5.8
17,Andorra,5,7.5
18,Andorra,6,11.5
19,Andorra,7,15.4
20,Andorra,8,18.8
21,Andorra,9,18.5
22,Andorra,10,14.9
23,Andorra,11,10.3
24,Andorra,12,5.7
25,Andorra,1,3
26,Andorra,2,9.8
27,Austria,3,0.3
28,Austria,4,1.5
29,Austria,5,5.7
30,Austria,6,10.7
31,Austria,7,15.7
32,Austria,8,18.7
33,Austria,9,20.8
34,Austria,10,20.2
35,Austria,11,15.4
36,Austria,12,10.2
37,Austria,1,5.1
38,Austria,2,1.1
39,Austria,3,10.4
40,Belarus,4,-4.5
41,Belarus,5,-4.4
42,Belarus,6,0
43,Belarus,7,7.2
44,Belarus,8,13.3
45,Belarus,9,16.4
46,Belarus,10,18.5
47,Belarus,11,17.5
48,Belarus,12,12.1
49,Belarus,1,6.6
50,Belarus,2,0.6
51,Belarus,3,-3.4
52,Belarus,4,6.7
53,Belgium,5,3.3
54,Belgium,6,3.7
55,Belgium,7,6.8
56,Belgium,8,9.8
57,Belgium,9,13.6
58,Belgium,10,16.2
59,Belgium,11,18.4
60,Belgium,12,18
61,Belgium,1,14.9
62,Belgium,2,11.1
63,Belgium,3,6.8
64,Belgium,4,3.9
65,Belgium,5,10.5
66,Bosnia and Herzegovina,6,-0.5
67,Bosnia and Herzegovina,7,1.4
68,Bosnia and Herzegovina,8,5.7
69,Bosnia and Herzegovina,9,10
70,Bosnia and Herzegovina,10,14.8
71,Bosnia and Herzegovina,11,17.7
72,Bosnia and Herzegovina,12,19.7
73,Bosnia and Herzegovina,1,19.7
74,Bosnia and Herzegovina,2,15.3
